assetid,name,type,regionid,street_name,lat,lon,cost,construction_start,construction_end,status,contractor_id,scheme_ids,source,verification_status,chain_complete,source_type,confidence
ASSET_W45_GALI7_DRAIN,Drain Gali No. 7 Shahdara,drain,STREET_W45_GALI7,Gali No. 7,28.6748,77.2921,1200000,2024-01-15,2025-03-10,Completed,ACTOR_CONTRACTOR_XYZ,SCHEME_SFC_GRANT_2024,delhi.data.gov.in,verified,true,official_csv,1.0
ASSET_W45_GALI7_ROAD,Road Repair Gali No. 7,road,STREET_W45_GALI7,Gali No. 7,28.6749,77.2920,850000,2024-02-01,2025-02-28,Completed,ACTOR_CONTRACTOR_ABC,SCHEME_PMGSY,delhi.data.gov.in,verified,true,official_csv,1.0
ASSET_W45_GALI12_STREETLIGHT,Street Lights Gali No. 12,streetlight,STREET_W45_GALI12,Gali No. 12,28.6739,77.2934,320000,2024-03-01,2024-06-15,Completed,ACTOR_CONTRACTOR_PQR,SCHEME_STREETLIGHT,MCD social,verified,true,official_csv,0.9
ASSET_W45_TOILET_BLOCK,Community Toilet Block Ward 45,toilet,WARD45_SHAHDARA,Near Market,28.6730,77.2915,2500000,2023-10-01,2024-04-30,Completed,ACTOR_CONTRACTOR_ABC,SCHEME_SBM,pib.gov.in,verified,true,official_csv,1.0
ASSET_W45_PARK,Community Park Ward 45,park,WARD45_SHAHDARA,Block C,28.6735,77.2908,1800000,2024-04-01,2024-09-30,Completed,ACTOR_MCD_EAST,SCHEME_AMRUT,MCD social,verified,true,official_csv,0.9
ASSET_W45_PMAY_BLOCK_A,PMAY Housing Block A Ward 45,house,WARD45_SHAHDARA,Block A,28.6727,77.2903,4500000,2023-06-01,2024-12-31,Completed,ACTOR_CONTRACTOR_XYZ,SCHEME_PMAY,pib.gov.in,verified,true,official_csv,1.0
ASSET_W45_GALI3_DRAIN,Drain Gali No. 3 Shahdara,drain,STREET_W45_GALI3,Gali No. 3,28.6760,77.2912,950000,2024-07-01,2025-01-31,Completed,ACTOR_CONTRACTOR_XYZ,SCHEME_SFC_GRANT_2024,delhi.data.gov.in,verified,false,official_csv,1.0
ASSET_W46_GALI3_DRAIN,Drain Gali No. 3 Krishna Nagar,drain,STREET_W46_GALI3,Gali No. 3,28.6620,77.2800,980000,2024-05-01,2024-11-30,Completed,ACTOR_CONTRACTOR_XYZ,SCHEME_SFC_GRANT_2024,delhi.data.gov.in,verified,true,official_csv,1.0
ASSET_W46_ROAD_MAIN,Main Road Resurfacing Krishna Nagar,road,WARD46_KRISHNANAGAR,Main Road,28.6612,77.2787,2200000,2024-06-15,2025-01-15,InProgress,ACTOR_CONTRACTOR_ABC,SCHEME_PMGSY,delhi.data.gov.in,unverified,false,official_csv,1.0
ASSET_W46_GALI8_STREETLIGHT,Street Lights Gali No. 8 KN,streetlight,STREET_W46_GALI8,Gali No. 8,28.6630,77.2810,280000,2024-09-01,2024-12-15,Completed,ACTOR_CONTRACTOR_PQR,SCHEME_STREETLIGHT,MCD social,verified,true,official_csv,0.9
ASSET_W47_STREETLIGHT_B,Street Lights Gandhi Nagar Block B,streetlight,WARD47_GANDHINAGAR,Block B,28.6595,77.2660,450000,2024-08-01,2024-10-15,Completed,ACTOR_MCD_EAST,SCHEME_STREETLIGHT,MCD social,verified,true,official_csv,0.9
ASSET_W47_TOILET,SBM Toilet Complex Gandhi Nagar,toilet,WARD47_GANDHINAGAR,Near School,28.6590,77.2655,1900000,2024-01-01,2024-07-31,Stalled,,SCHEME_SBM,pib.gov.in,unverified,false,official_csv,1.0
ASSET_W47_GALI5_ROAD,Road Repair Gali No. 5 Gandhi Nagar,road,STREET_W47_GALI5,Gali No. 5,28.6585,77.2670,720000,2024-11-01,2025-03-31,InProgress,ACTOR_CONTRACTOR_ABC,SCHEME_PMGSY,delhi.data.gov.in,unverified,false,official_csv,1.0
ASSET_W45_GALI12_DRAIN,Drain Gali No. 12 Shahdara,drain,STREET_W45_GALI12,Gali No. 12,28.6740,77.2935,880000,2025-01-01,2025-06-30,Completed,ACTOR_CONTRACTOR_XYZ,SCHEME_SFC_GRANT_2024,delhi.data.gov.in,verified,true,official_csv,1.0
ASSET_W47_GALI1_DRAIN,Drain Gali No. 1 Gandhi Nagar,drain,STREET_W47_GALI1,Gali No. 1,28.6595,77.2660,1050000,2024-10-01,2025-02-28,Completed,ACTOR_CONTRACTOR_XYZ,SCHEME_AMRUT,delhi.data.gov.in,verified,true,official_csv,1.0
