beneficiaryid,name,type,regionid,scheme_ids,count,demographic_segment,year,ward_code,ab_cards_issued,pmay_units,sbm_toilets_accessed,pmjdy_accounts,source
BEN_W45_PMAY,PMAY Beneficiaries Ward 45,household,WARD45_SHAHDARA,SCHEME_PMAY,342,BPL Households,2024,W45,0,342,0,0,delhi.data.gov.in
BEN_W45_AB,Ayushman Bharat Beneficiaries Ward 45,individual,WARD45_SHAHDARA,SCHEME_AB,1840,BPL + Lower Middle,2024,W45,1840,0,0,0,nhaclaims.mohfw.gov.in
BEN_W45_SBM,SBM Toilet Users Ward 45,household,WARD45_SHAHDARA,SCHEME_SBM,520,All Households,2024,W45,0,0,520,0,delhi.data.gov.in
BEN_W45_PMJDY,Jan Dhan Account Holders Ward 45,individual,WARD45_SHAHDARA,SCHEME_PMJDY,3200,All Adults,2024,W45,0,0,0,3200,data.gov.in
BEN_W45_GALI7_AB,Ayushman Bharat Gali No. 7,individual,WARD45_SHAHDARA,SCHEME_AB,84,BPL Households,2024,W45,84,0,0,0,nhaclaims.mohfw.gov.in
BEN_W45_GALI7_PMAY,PMAY Gali No. 7,household,WARD45_SHAHDARA,SCHEME_PMAY,28,BPL Households,2024,W45,0,28,0,0,delhi.data.gov.in
BEN_W45_GALI12_AB,Ayushman Bharat Gali No. 12,individual,STREET_W45_GALI12,SCHEME_AB,62,BPL Households,2024,W45,62,0,0,0,nhaclaims.mohfw.gov.in
BEN_W46_AB,Ayushman Bharat Beneficiaries Ward 46,individual,WARD46_KRISHNANAGAR,SCHEME_AB,1620,BPL + Lower Middle,2024,W46,1620,0,0,0,nhaclaims.mohfw.gov.in
BEN_W46_PMAY,PMAY Beneficiaries Ward 46,household,WARD46_KRISHNANAGAR,SCHEME_PMAY,290,BPL Households,2024,W46,0,290,0,0,delhi.data.gov.in
BEN_W46_SBM,SBM Toilet Users Ward 46,household,WARD46_KRISHNANAGAR,SCHEME_SBM,410,All Households,2024,W46,0,0,410,0,delhi.data.gov.in
BEN_W47_AB,Ayushman Bharat Beneficiaries Ward 47,individual,WARD47_GANDHINAGAR,SCHEME_AB,2100,BPL + Lower Middle,2024,W47,2100,0,0,0,nhaclaims.mohfw.gov.in
BEN_W47_PMAY,PMAY Beneficiaries Ward 47,household,WARD47_GANDHINAGAR,SCHEME_PMAY,380,BPL Households,2024,W47,0,380,0,0,delhi.data.gov.in
BEN_W47_SBM,SBM Beneficiaries Ward 47,household,WARD47_GANDHINAGAR,SCHEME_SBM,480,All Households,2024,W47,0,0,480,0,delhi.data.gov.in
BEN_W45_GALI3_AB,Ayushman Bharat Gali No. 3 Shahdara,individual,STREET_W45_GALI3,SCHEME_AB,51,BPL Households,2024,W45,51,0,0,0,nhaclaims.mohfw.gov.in
BEN_W47_GALI1_AB,Ayushman Bharat Gali No. 1 Gandhi Nagar,individual,STREET_W47_GALI1,SCHEME_AB,73,BPL Households,2024,W47,73,0,0,0,nhaclaims.mohfw.gov.in
BEN_W45_AB_B12,Ayushman Bharat Booth 12,individual,BOOTH_W45_B12,SCHEME_AB,345,BPL Households,2024,W45,345,0,0,0,nhaclaims.mohfw.gov.in
BEN_W45_AB_B13,Ayushman Bharat Booth 13,individual,BOOTH_W45_B13,SCHEME_AB,410,BPL Households,2024,W45,410,0,0,0,nhaclaims.mohfw.gov.in
