evidenceid,asset_id,regionid,type,before_or_after,url_or_path,capture_date,geo_lat,geo_lon,source,caption,verified_by,confidence_score
EVD_W45_GALI7_DRAIN_B,ASSET_W45_GALI7_DRAIN,STREET_W45_GALI7,photo,before,e:/INDIA_INNOVATES/Pramaan/before_w45_gali7_drain.png,2024-01-10,28.6748,77.2921,MCD social,Broken drain overflowing stagnant water Gali No 7 Shahdara Jan 2024,ACTOR_MCD_EAST,0.95
EVD_W45_GALI7_DRAIN_A,ASSET_W45_GALI7_DRAIN,STREET_W45_GALI7,photo,after,e:/INDIA_INNOVATES/Pramaan/after_w45_gali7_drain.png,2025-03-10,28.6748,77.2921,MCD social,New covered drain Gali No 7 Shahdara March 2025 clean road,ACTOR_MCD_EAST,0.95
EVD_W45_GALI7_ROAD_B,ASSET_W45_GALI7_ROAD,STREET_W45_GALI7,photo,before,e:/INDIA_INNOVATES/Pramaan/before_w45_gali7_road.jpeg,2024-01-20,28.6749,77.2920,MCD social,Broken potholed road Gali No 7 Shahdara Jan 2024,ACTOR_MCD_EAST,0.92
EVD_W45_GALI7_ROAD_A,ASSET_W45_GALI7_ROAD,STREET_W45_GALI7,photo,after,e:/INDIA_INNOVATES/Pramaan/after_w45_gali7_road.jpeg,2025-02-28,28.6749,77.2920,MCD social,Freshly laid smooth road Gali No 7 Shahdara Feb 2025,ACTOR_MCD_EAST,0.92
EVD_W45_GALI12_SL_B,ASSET_W45_GALI12_STREETLIGHT,STREET_W45_GALI12,photo,before,e:/INDIA_INNOVATES/Pramaan/before_w45_gali12_streetlight.jpeg,2024-02-15,28.6739,77.2934,MCD social,Dark street non-functional lights Gali 12 Shahdara Feb 2024,ACTOR_MCD_EAST,0.90
EVD_W45_GALI12_SL_A,ASSET_W45_GALI12_STREETLIGHT,STREET_W45_GALI12,photo,after,e:/INDIA_INNOVATES/Pramaan/after_w45_gali12_streetlight.jpeg,2024-06-15,28.6739,77.2934,MCD social,Bright LED street lights Gali 12 Shahdara June 2024,ACTOR_MCD_EAST,0.90
EVD_W45_TOILET_B,ASSET_W45_TOILET_BLOCK,WARD45_SHAHDARA,photo,before,e:/INDIA_INNOVATES/Pramaan/before_w45_toilet.jpeg,2023-09-01,28.6730,77.2915,pib.gov.in,Open defecation site Ward 45 market area Sep 2023,ACTOR_MOH,0.88
EVD_W45_TOILET_A,ASSET_W45_TOILET_BLOCK,WARD45_SHAHDARA,photo,after,e:/INDIA_INNOVATES/Pramaan/after_w45_toilet.jpeg,2024-04-30,28.6730,77.2915,pib.gov.in,Modern SBM community toilet block Ward 45 April 2024,ACTOR_MOH,0.88
EVD_W45_PARK_B,ASSET_W45_PARK,WARD45_SHAHDARA,photo,before,e:/INDIA_INNOVATES/Pramaan/before_w45_park.jpeg,2024-03-01,28.6735,77.2908,MCD social,Vacant waterlogged land Block C Ward 45 March 2024,ACTOR_MCD_EAST,0.85
EVD_W45_PARK_A,ASSET_W45_PARK,WARD45_SHAHDARA,photo,after,e:/INDIA_INNOVATES/Pramaan/after_w45_park.jpeg,2024-09-30,28.6735,77.2908,MCD social,Developed community park with benches trees Ward 45 Sep 2024,ACTOR_MCD_EAST,0.85
EVD_W45_PMAY_B,ASSET_W45_PMAY_BLOCK_A,WARD45_SHAHDARA,photo,before,e:/INDIA_INNOVATES/Pramaan/before_w45_pmay.jpeg,2023-05-15,28.6727,77.2903,pib.gov.in,Demolished slum structures Block A Ward 45 May 2023,ACTOR_MOH,0.91
EVD_W45_PMAY_A,ASSET_W45_PMAY_BLOCK_A,WARD45_SHAHDARA,photo,after,e:/INDIA_INNOVATES/Pramaan/after_w45_pmay.jpeg,2024-12-31,28.6727,77.2903,pib.gov.in,342 PMAY housing units completed Block A Ward 45 Dec 2024,ACTOR_MOH,0.91
EVD_W46_GALI3_DRAIN_B,ASSET_W46_GALI3_DRAIN,STREET_W46_GALI3,photo,before,e:/INDIA_INNOVATES/Pramaan/before_w46_gali3_drain.png,2024-04-10,28.6620,77.2800,delhi.data.gov.in,Old broken drain Gali 3 Krishna Nagar April 2024,ACTOR_MCD_EAST,0.87
EVD_W46_GALI3_DRAIN_A,ASSET_W46_GALI3_DRAIN,STREET_W46_GALI3,photo,after,e:/INDIA_INNOVATES/Pramaan/after_w46_gali3_drain.png,2024-11-30,28.6620,77.2800,delhi.data.gov.in,New concrete drain Gali 3 Krishna Nagar Nov 2024,ACTOR_MCD_EAST,0.87
