regionid,name,type,parent_regionid,wardcode,lat,lon,population,zone
DELHI_STATE,Delhi,state,,DL,28.6139,77.2090,20000000,
EAST_DELHI,East Delhi,district,DELHI_STATE,,28.6562,77.2910,1800000,East
NORTH_DELHI,North Delhi,district,DELHI_STATE,,28.7041,77.1025,1500000,North
SOUTH_DELHI,South Delhi,district,DELHI_STATE,,28.5245,77.1855,2200000,South
WARD45_SHAHDARA,Ward 45 Shahdara,ward,EAST_DELHI,W45,28.6731,77.2904,85000,East
WARD46_KRISHNANAGAR,Ward 46 Krishna Nagar,ward,EAST_DELHI,W46,28.6612,77.2787,79000,East
WARD47_GANDHINAGAR,Ward 47 Gandhi Nagar,ward,EAST_DELHI,W47,28.6589,77.2654,92000,East
WARD12_ROHINI,Ward 12 Rohini,ward,NORTH_DELHI,W12,28.7495,77.0680,110000,North
WARD28_SAKET,Ward 28 Saket,ward,SOUTH_DELHI,W28,28.5245,77.2066,95000,South
BOOTH_W45_B12,Booth 12 Shahdara,booth,WARD45_SHAHDARA,,28.6740,77.2915,3500,East
BOOTH_W45_B13,Booth 13 Shahdara,booth,WARD45_SHAHDARA,,28.6750,77.2925,3800,East
STREET_W45_GALI7,Gali No. 7 Shahdara,street,BOOTH_W45_B12,,28.6748,77.2921,1200,East
STREET_W45_GALI12,Gali No. 12 Shahdara,street,BOOTH_W45_B12,,28.6739,77.2934,980,East
STREET_W45_GALI3,Gali No. 3 Shahdara,street,WARD45_SHAHDARA,,28.6760,77.2912,860,East
STREET_W45_MAIN,Shahdara Main Road,street,BOOTH_W45_B13,,28.6725,77.2910,2400,East
STREET_W46_GALI3,Gali No. 3 Krishna Nagar,street,WARD46_KRISHNANAGAR,,28.6620,77.2800,890,East
STREET_W46_GALI8,Gali No. 8 Krishna Nagar,street,WARD46_KRISHNANAGAR,,28.6630,77.2810,760,East
STREET_W47_GALI1,Gali No. 1 Gandhi Nagar,street,WARD47_GANDHINAGAR,,28.6595,77.2660,1100,East
STREET_W47_GALI5,Gali No. 5 Gandhi Nagar,street,WARD47_GANDHINAGAR,,28.6585,77.2670,930,East
