Sl No,Ward,Population
1,DMC Ward No - 1,55512
2,DMC Ward No - 2,37929
3,DMC Ward No - 9,60531
4,DMC Ward No - 10,70476
5,DMC Ward No - 11,38211
6,DMC Ward No - 11,14604
7,DMC Ward No - 12,41703
8,DMC Ward No - 12,254
9,DMC Ward No - 13,46578
10,DMC Ward No - 14,50721
11,DMC Ward No - 15,4839
12,DMC Ward No - 15,38749
13,DMC Ward No - 16,47002
14,DMC Ward No - 17,55747
15,DMC Ward No - 21,66482
16,DMC Ward No - 21,25950
17,DMC Ward No - 22,52541
18,DMC Ward No - 23,94843
19,DMC Ward No - 24,77614
20,DMC Ward No - 26,5993
21,DMC Ward No - 38,41674
22,DMC Ward No - 41,51975
23,DMC Ward No - 42,44150
24,DMC Ward No - 45,62796
25,DMC Ward No - 46,60882
26,DMC Ward No - 47,55177
27,DMC Ward No - 48,45206
28,DMC Ward No - 49,39841
29,DMC Ward No - 49,33739
30,DMC Ward No - 50,58558
31,DMC Ward No - 51,48118
32,DMC Ward No - 52,49787
33,DMC Ward No - 53,51528
34,DMC Ward No - 54,56149
35,DMC Ward No - 55,59383
36,DMC Ward No - 56,25529
37,DMC Ward No - 56,21641
38,DMC Ward No - 57,55273
39,DMC Ward No - 58,42423
40,DMC Ward No - 59,10377
41,DMC Ward No - 59,45964
42,DMC Ward No - 60,1677
43,DMC Ward No - 60,41941
44,DMC Ward No - 61,51984
45,DMC Ward No - 62,10546
46,DMC Ward No - 62,44741
47,DMC Ward No - 63,51105
48,DMC Ward No - 64,49006
49,DMC Ward No - 65,52609
50,DMC Ward No - 65,3832
51,DMC Ward No - 66,34708
52,DMC Ward No - 66,12642
53,DMC Ward No - 67,50316
54,DMC Ward No - 68,54212
55,DMC Ward No - 69,44888
56,DMC Ward No - 70,25578
57,DMC Ward No - 70,22284
58,DMC Ward No - 71,49447
59,DMC Ward No - 72,39032
60,DMC Ward No - 73,17396
61,DMC Ward No - 73,41081
62,DMC Ward No - 74,30385
