evidence_id,asset_id,region_id,type,before_or_after,capture_date,url,source
EVD_W45_GALI7_DRAIN_BEFORE,ASSET_W45_GALI7_DRAIN,REG_W45_GALI7,image,before,2024-01-05,frontend/static/evidence/before_w45_gali7_drain.png,MCD Complaint Log #2024-SHD-0132
EVD_W45_GALI7_DRAIN_AFTER,ASSET_W45_GALI7_DRAIN,REG_W45_GALI7,image,after,2025-03-22,frontend/static/evidence/after_w45_gali7_drain.png,MCD field inspector geo-tagged photo
EVD_W45_GALI12_DRAIN_BEFORE,ASSET_W45_GALI12_DRAIN,REG_W45_GALI12,image,before,2024-01-10,frontend/static/evidence/before_w46_gali3_drain.png,MCD Complaint Log #2024-SHD-0147
EVD_W45_GALI12_DRAIN_AFTER,ASSET_W45_GALI12_DRAIN,REG_W45_GALI12,image,after,2025-03-22,frontend/static/evidence/after_w46_gali3_drain.png,MCD field inspector geo-tagged photo
EVD_W45_PARK_BEFORE,ASSET_W45_PARK,REG_W45,image,before,2023-11-01,frontend/static/evidence/before_w45_park.jpeg,MCD Inspection Report #2023-SHD-P04
EVD_W45_PARK_AFTER,ASSET_W45_PARK,REG_W45,image,after,2025-04-10,frontend/static/evidence/after_w45_park.jpeg,AMRUT monitoring team photo
EVD_W45_ROAD_GALI7_BEFORE,ASSET_W45_ROAD_GALI7,REG_W45_GALI7,image,before,2024-02-01,frontend/static/evidence/before_w45_gali7_road.jpeg,MCD Complaint Log #2024-SHD-R019
EVD_W45_TOILET_BEFORE,ASSET_W45_TOILET,REG_W45_MARKET_ROAD,image,before,2024-03-01,frontend/static/evidence/before_w45_toilet.jpeg,MCD Sanitation Report #2024-SHD-T07
EVD_W45_PMAY_BEFORE,ASSET_W45_PMAY_HOUSING_A,REG_W45_COLONY_Y,image,before,2023-11-15,frontend/static/evidence/before_w45_pmay.jpeg,DDA PMAY-U Sanction Report #2023-DDA-H45
EVD_W45_STREETLIGHT_BEFORE,ASSET_W45_GALI12_STREETLIGHT,REG_W45_GALI12,image,before,2024-01-20,frontend/static/evidence/before_w45_gali12_streetlight.jpeg,MCD Complaint Log #2024-SHD-L023
