actor_id,name,type,region_id
ACT_MCD_SHAHDARA_WORKS,MCD Shahdara North Works Dept,government,REG_SHAHDARA_NORTH
ACT_MCD_SHAHDARA_SANITATION,MCD Shahdara Sanitation Dept,government,REG_SHAHDARA_SOUTH
ACT_MCD_ELECTRICAL,MCD Electrical Dept - Shahdara,government,REG_SHAHDARA_SOUTH
ACT_DDA,Delhi Development Authority,government,REG_DELHI
ACT_W45_COUNCILLOR,Ward 45 Councillor,elected_rep,REG_W45
ACT_CONTRACTOR_INFRA_1,ABC Infra Pvt Ltd,contractor,REG_W45
ACT_CONTRACTOR_LIGHTS_1,BrightLights Engineering,contractor,REG_W45
ACT_NEW_DELHI_MUNICIPAL_COUNCIL,New Delhi Municipal Council,contractor,REG_DELHI
ACT_PUBLIC_WORKS_DEPARTMENT,Public Works Department,contractor,REG_DELHI
ACT_IRRIGATION_AND_FLOOD_CONTROL,Irrigation and Flood Control,contractor,REG_DELHI
ACT_DELHI_JAL_BOARD,Delhi Jal Board,contractor,REG_DELHI
ACT_DELHI_TRANSCO_LIMITED,Delhi Transco Limited,contractor,REG_DELHI
ACT_DSIIDC,DSIIDC,contractor,REG_DELHI
ACT_DELHI_URBAN_SHELTER_IMPROVEMEN,Delhi Urban Shelter Improvement Board,contractor,REG_DELHI
ACT_DIRECTORATE_OF_HEALTH_SERVICES,Directorate of Health Services,contractor,REG_DELHI
ACT_GGS_INDERPRASTHA_UNIVERSITY,GGS INDERPRASTHA UNIVERSITY,contractor,REG_DELHI
ACT_DEPARTMENT_OF_FORESTS_AND_WILD,Department of Forests and Wildlife,contractor,REG_DELHI
ACT_LAW_JUSTICE_AND_LEGISLATIVE_AF,Law justice and Legislative Affairs,contractor,REG_DELHI
ACT_DEPARTMENT_OF_EDUCATION,Department of Education,contractor,REG_DELHI
ACT_G_B_PANT_HOSPITAL,G B Pant Hospital,contractor,REG_DELHI
ACT_DELHI_TRANSPORT_INFRASTRUCTURE,Delhi Transport Infrastructure Devlopment Corp Ltd,contractor,REG_DELHI
ACT_DELHI_BUILDING_AND_OTHER_CONST,Delhi Building and Other Construction workers Welf,contractor,REG_DELHI
ACT_SUP_MUKESH_KUMAR,"Mukesh Kumar (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_MAHESH,"Mahesh (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_BRIJBIR,"Brijbir (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_JAI_PRAKASH,"Jai Prakash (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_NISHANT,"Nishant (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_KRIPAL_SINGH,"Kripal Singh (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_SANJEEV_KUMAR,"Sanjeev Kumar (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_DINESH,"Dinesh (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_KALU_RAM,"Kalu Ram (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_NABAB,"Nabab (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_SHAKTI_SINGH,"Shakti Singh (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_LOKENDER,"Lokender (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_JAI_VEER,"Jai Veer (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_OMKAR,"Omkar (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_RAVINDER,"Ravinder (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_AMRESH,"Amresh (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_SHAHDARA_SOUTH_ZONE,"Shahdara South Zone (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_RAKESH_KASHYAP,"Rakesh Kashyap (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_SORAN_SINGH,"Soran Singh (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_RAJVEER,"Rajveer (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_MUKESH,"Mukesh (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_TEJ_PAL_SHARMA,"Tej Pal Sharma (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
ACT_SUP_RAJENDER_PAL_RANA,"Rajender Pal Rana (Park Supervisor, Shahdara North)",government,REG_SHAHDARA_NORTH
