region_id,name,type,parent_region_id,population,lat,lon
GEO_IN_DL,Delhi,state,GEO_IN,,28.7041,77.1025
GEO_IN_DL_276400,East Delhi Municipal Corporation,city,GEO_IN_DL,,,
GEO_IN_DL_276401,North Delhi Municipal Corporation,city,GEO_IN_DL,,,
GEO_IN_DL_276402,South Delhi Municipal Corporation,city,GEO_IN_DL,,,
GEO_IN_DL_276447,New Delhi Municipal Council,city,GEO_IN_DL,,,
GEO_IN_DL_276402_W1290042,Sri Niwas Puri,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289788,Trilokpuri-West,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276401_W1289904,Mangolpuri-B,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290036,Sangam Vihar-C,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290037,Sangam Vihar-D,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290047,Pul Pehladpur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289932,Civil Lines,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289896,Sultanpuri-B,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1289975,Sainik Enclave,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1289965,Keshopur,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289864,Mukherjee Nagar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276400_W1289814,Vivek Vihar,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1289955,Punjabi Bagh,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276400_W1289846,Karawal Nagar-West,ward,GEO_IN_DL_276400,,,
GEO_IN_DL_276402_W1290022,Vasant Kunj,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289876,Budh Vhar,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276402_W1290046,Tughlakabad,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276402_W1290052,Om Vihar,ward,GEO_IN_DL_276402,,,
GEO_IN_DL_276401_W1289894,Sultanpuri-A,ward,GEO_IN_DL_276401,,,
GEO_IN_DL_276401_W1289920,Tri Nagar,ward,GEO_IN_DL_276401,,,
