Sl. No.,State/UT,Work Completed - Number,Work Completed - Amount,Work in progress - Number,Work in progress - Amount,Under Tendering - Number,Under Tendering - Amount,Total - Number,Total - Amount
1,Andaman & Nicobar Islands,3,1.42,5,2.6,NA,NA,8,4.02
2,Andhra Pradesh,2,88.62,12,254.1,NA,NA,14,342.72
3,Arunachal Pradesh,1,13.12,2,27.25,NA,NA,3,40.37
4,Bihar,NA,NA,3,237.99,NA,NA,3,237.99
5,NCT of Delhi,2,2.01,1,3.37,NA,NA,3,5.38
6,Gujarat,19,118.33,16,99.47,2,14.03,37,231.83
7,Haryana,10,111.26,9,341.11,NA,NA,19,452.37
8,Himachal Pradesh,7,20.64,3,11.27,NA,NA,10,31.91
9,Jammu and Kashmir,28,120.36,8,64.36,NA,NA,36,184.72
10,Karnataka,73,170.51,11,72.87,NA,NA,84,243.38
11,Kerala,424,202.07,72,138.63,NA,NA,496,340.7
12,Madhya Pradesh,17,148.86,6,73.18,NA,NA,23,222.04
13,Maharashtra,NA,NA,1,94.06,NA,NA,1,94.06
14,Mizoram,NA,NA,3,57.2,NA,NA,3,57.2
15,Nagaland,1,13.59,7,66.16,NA,NA,8,79.75
16,Rajasthan,4,24.07,1,14.84,NA,NA,5,38.91
17,Sikkim,12,3.17,13,10.16,NA,NA,25,13.33
18,Uttarakhand,8,15.62,8,19.23,NA,NA,16,34.85
19,West Bengal,1,60,6,241.5,NA,NA,7,301.5
Grand Total,Grand Total,612,1113.65,187,1829.35,2,14.03,801,2957.03
